latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,
32.794376,-96.8215,144,-18000,America/Chicago,GMT-5,,,,,
,,,,,,,,,,
time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),precipitation_probability (undefined),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),cloud_cover (%),uv_index (undefined),shortwave_radiation (W/m²)
2024-01-01 0:00,6.4,1.4,0,NaN,20.3,31.3,64,0,NaN,0
2024-01-01 1:00,5,-0.1,0,NaN,20,31.7,68,18,NaN,0
2024-01-01 2:00,3.8,-1.6,0,NaN,20.7,32.8,68,2,NaN,0
2024-01-01 3:00,2.9,-2.4,0,NaN,19.7,32.4,70,24,NaN,0
2024-01-01 4:00,2.3,-2.9,0,NaN,18.9,31,70,0,NaN,0
2024-01-01 5:00,1.7,-3.4,0,NaN,17.4,29.9,71,0,NaN,0
2024-01-01 6:00,1.2,-3.9,0,NaN,17,27.7,71,0,NaN,0
2024-01-01 7:00,0.8,-4.3,0,NaN,17,27,72,0,NaN,0
2024-01-01 8:00,0.1,-4.9,0,NaN,17,27,80,0,NaN,0
2024-01-01 9:00,0.1,-4.8,0,NaN,16,27,79,0,NaN,10
2024-01-01 10:00,1.4,-3.6,0,NaN,17.1,28.8,73,0,NaN,135
2024-01-01 11:00,3,-1.8,0,NaN,16.2,30.6,68,0,NaN,309
2024-01-01 12:00,4.7,0.1,0,NaN,14.8,29.9,63,0,NaN,455
2024-01-01 13:00,6.2,2,0,NaN,13.2,28.8,60,0,NaN,550
2024-01-01 14:00,7.4,3.6,0,NaN,12.1,27,57,0,NaN,584
2024-01-01 15:00,8.3,4.5,0,NaN,11.7,25.6,56,0,NaN,553
2024-01-01 16:00,8.8,4.9,0,NaN,12.2,24.8,55,0,NaN,460
2024-01-01 17:00,8.7,5.1,0,NaN,10.4,24.1,55,0,NaN,315
2024-01-01 18:00,7.8,4.6,0,NaN,7.7,19.8,60,0,NaN,141
2024-01-01 19:00,5.1,2,0,NaN,7.5,12.2,73,0,NaN,11
2024-01-01 20:00,4.2,1.2,0,NaN,6.9,10.4,79,0,NaN,0
2024-01-01 21:00,3.2,0.2,0,NaN,6.4,10.4,85,0,NaN,0
2024-01-01 22:00,2.8,-0.2,0,NaN,6.6,9.7,86,0,NaN,0
2024-01-01 23:00,2.2,-0.8,0,NaN,6.4,10.1,89,0,NaN,0
2024-01-02 0:00,1.6,-1.6,0,NaN,7.4,9.7,91,0,NaN,0
2024-01-02 1:00,1.4,-1.8,0,NaN,7.1,9.7,91,16,NaN,0
2024-01-02 2:00,0.8,-2.8,0,NaN,9.7,11.5,93,100,NaN,0
2024-01-02 3:00,1.4,-1.6,0,NaN,6.6,11.5,92,100,NaN,0
2024-01-02 4:00,1.4,-1.7,0,NaN,6.6,10.1,91,58,NaN,0
2024-01-02 5:00,0.9,-2.2,0,NaN,6.6,10.1,91,93,NaN,0
2024-01-02 6:00,0.8,-2.4,0,NaN,6.6,9.4,91,99,NaN,0
2024-01-02 7:00,1.2,-1.9,0,NaN,6,9,90,100,NaN,0
2024-01-02 8:00,0.8,-2.7,0,NaN,8.5,13,87,99,NaN,0
